net,length_um
net6,33.58
net4,32.98
net13,26.8
net2,26.44
net9,22.6
sum[1],22.23
net1,21.42
net5,21.3
_04_,18.76
net3,18.42
net12,16.24
cout,15.38
net10,15.22
b[1],15.16
b[3],14.39
net11,14.34
_00_,13.94
_03_,13
_09_,11.58
net7,11.455
cin,11
b[2],10.08
sum[0],9.88
sum[2],9.86
a[0],9.64
a[2],9.64
_13_,9.36
_10_,9.26
_16_,9.12
a[1],9.07
net8,8.9
_05_,8.42
_12_,7.98
_01_,7.68
net14,6.74
sum[3],5.75
_14_,5.68
_06_,5.22
a[3],4.95
_15_,4.94
b[0],4.61
_11_,4.1
_02_,4
_08_,3.22
_07_,1.14
